time,PM10_ug_m3,PM2_5_ug_m3,bme_pressure,temperature,humidity,CO_ppm,NO2_ppm,O3_ppb
2024-02-01 01:58:06+00:00,5.8,5.8,1003.74,22.60000038,37.70000076,4.265372276,0.147032246,17.6255703
2024-02-01 01:59:06+00:00,7.7,7.7,1003.84,22.70000076,38.0,4.265372276,0.146454439,17.6255703
2024-02-01 02:01:06+00:00,8.2,8.2,1003.75,22.70000076,37.20000076,4.265372276,0.147032246,12.41729069
2024-02-01 02:02:06+00:00,9.2,9.2,1003.75,22.60000038,37.59999847,4.245752811,0.147032246,12.41729069
2024-02-01 07:39:06+00:00,11.2,11.2,1003.78,26.0,33.09999847,4.091978073,0.152937904,8.466638565
2024-02-01 07:40:06+00:00,13.0,13.0,1003.79,26.0,32.40000153,4.110896111,0.152336702,8.466638565
2024-02-01 07:42:06+00:00,11.6,11.2,1003.75,26.10000038,33.09999847,4.091978073,0.152336702,10.56077385
2024-02-01 07:43:06+00:00,9.8,9.8,1003.75,26.10000038,33.29999924,4.129899979,0.151737884,10.56077385
2024-02-01 10:11:05+00:00,7.7,7.7,1003.05,33.29999924,25.29999924,3.943661451,0.157215163,12.6490593
2024-02-01 10:12:05+00:00,7.0,7.0,1003.03,33.5,25.10000038,3.980243444,0.154756188,12.6490593
2024-02-01 10:14:05+00:00,7.5,7.5,1002.97,33.70000076,24.89999962,3.961911678,0.156596661,12.88650513
2024-02-01 10:15:05+00:00,8.4,8.4,1002.97,34.09999847,24.79999924,3.998657703,0.156596661,12.88650513
2024-02-01 10:39:05+00:00,8.4,8.4,1002.69,33.59999847,24.79999924,3.943661451,0.158459723,12.6490593
2024-02-01 10:40:06+00:00,9.8,9.8,1002.65,33.5,25.10000038,3.925492048,0.15908584,12.6490593
2024-02-01 10:42:05+00:00,11.2,10.2,1002.63,33.20000076,25.39999962,3.925492048,0.158459723,13.12981224
2024-02-01 10:43:05+00:00,7.6,7.6,1002.61,33.0,25.10000038,3.907404184,0.15908584,13.12981224
2024-02-01 18:01:06+00:00,68.9,58.0,1000.34,27.89999962,29.89999962,4.035734177,0.15354155,6.272863388
2024-02-01 18:02:05+00:00,67.2,55.7,1000.32,27.89999962,29.89999962,4.054397106,0.154756188,6.272863388
2024-02-01 18:31:06+00:00,75.1,67.2,1000.32,27.60000038,30.0,4.091978073,0.15354155,6.466644287
2024-02-01 18:32:06+00:00,74.4,68.3,1000.3,27.60000038,30.0,4.073145866,0.152336702,6.466644287
2024-02-01 18:34:07+00:00,77.2,null,1000.26,27.60000038,30.0,4.091978073,0.152937904,6.466644287
2024-02-01 18:35:05+00:00,76.6,null,1000.25,27.60000038,30.0,4.073145866,0.152336702,6.466644287
2024-02-01 23:31:05+00:00,45.0,39.0,998.74,26.20000076,30.29999924,3.980243444,0.155367196,9.04884243
2024-02-01 23:32:06+00:00,44.2,39.0,998.79,26.10000038,30.20000076,3.980243444,0.155980676,9.04884243
2024-02-01 23:34:05+00:00,48.2,40.8,998.75,26.10000038,30.20000076,3.980243444,0.155980676,9.04884243
2024-02-01 23:35:07+00:00,39.7,36.3,998.75,26.10000038,30.29999924,3.961911678,0.157215163,9.04884243
2024-02-02 05:13:05+00:00,22.7,null,998.17,26.20000076,29.79999924,3.998657703,0.155980676,6.668099403
2024-02-02 05:14:06+00:00,22.6,22.6,998.26,26.20000076,29.70000076,3.998657703,0.155980676,6.668099403
2024-02-02 05:16:05+00:00,25.3,25.3,998.24,26.29999924,29.79999924,3.998657703,0.154756188,8.466638565
2024-02-02 05:17:05+00:00,18.0,17.6,998.27,26.29999924,29.79999924,null,0.157215163,8.466638565
2024-02-02 05:42:05+00:00,20.0,19.7,998.65,26.39999962,29.70000076,null,0.155980676,5.73407793
2024-02-02 05:43:05+00:00,20.4,20.4,998.7,26.39999962,29.70000076,null,0.156596661,5.73407793
2024-02-02 05:45:05+00:00,17.6,16.8,998.73,26.39999962,29.60000038,null,0.156596661,5.650060654
2024-02-02 05:46:05+00:00,22.8,22.8,998.73,26.39999962,29.60000038,null,0.155367196,5.650060654
2024-02-02 08:01:07+00:00,12.0,12.0,999.05,27.89999962,26.60000038,null,0.155980676,8.751508713
2024-02-02 08:02:05+00:00,11.8,11.8,999.05,27.79999924,26.70000076,null,0.154147655,8.751508713
2024-02-02 08:04:06+00:00,9.6,9.6,999.12,27.89999962,27.0,4.035734177,0.15354155,8.607556343
2024-02-02 08:05:05+00:00,8.3,8.3,999.13,28.10000038,27.29999924,4.01715374,0.155980676,8.607556343
2024-02-02 08:07:05+00:00,12.4,12.4,999.07,28.20000076,26.70000076,4.035734177,0.154756188,9.359332085
2024-02-02 08:08:05+00:00,10.6,10.6,999.14,28.20000076,26.70000076,4.035734177,0.154756188,9.359332085
2024-02-02 08:10:05+00:00,11.0,10.5,999.21,28.39999962,26.39999962,4.01715374,0.155980676,9.519738197
2024-02-02 08:11:05+00:00,16.0,15.5,999.22,28.70000076,26.29999924,3.998657703,0.154756188,9.519738197
2024-02-02 08:13:05+00:00,8.6,8.6,999.18,29.29999924,26.0,3.998657703,0.154756188,9.359332085
2024-02-02 08:14:06+00:00,10.4,10.4,999.17,29.60000038,25.60000038,4.054397106,0.155367196,9.359332085
2024-02-02 08:15:05+00:00,12.0,11.6,999.14,29.89999962,25.29999924,3.961911678,0.157836154,9.359332085
